DrugBank ID,Indication Type,Indication,Combined Product Details
DB00210,Used in combination to treat,Acne vulgaris,"Combination Product in combination with:Benzoyl peroxide (DB09096),Clindamycin (DB01190)"
DB00210,Used in combination to treat,Acne vulgaris,Combination Product in combination with:Benzoyl peroxide (DB09096)
DB00210,Treatment of,Acne vulgaris,
DB00210,Treatment of,Acne vulgaris,
DB00211,Management of,Symptomatic orthostatic hypotension,
DB00213,Treatment of,Erosive esophagitis,
DB00213,Treatment of,Erosive esophagitis,
DB00213,Treatment of,Erosive esophagitis,
DB00213,Treatment of,Gerd,
DB00213,Treatment of,Gerd with erosive esophagitis,
DB00214,Management of,Edema,
DB00214,Management of,Edema,
DB00214,Management of,Edema,
DB00214,Management of,Hypertension,
DB00215,Management of,Alcohol abuse,
DB00215,Treatment of,Anorexia nervosa,
DB00215,Treatment of,Binge eating disorder (bed),
DB00215,Treatment of,Bulimia nervosa,
DB00215,Symptomatic treatment of,Depression,
DB00216,Treatment of,Migraine with aura,
DB00216,Treatment of,Migraine without aura,
DB00218,Treatment of,Acute exacerbation of chronic bronchitis,
DB00218,Treatment of,Bacterial conjunctivitis,
DB00218,Treatment of,Community acquired pneumonia,
DB00218,Treatment of,Plague,
DB00218,Prophylaxis of,Plague,
DB00220,Used in combination to treat,Hiv-1 infection,
DB00222,Used as adjunct in combination to manage,Type 2 diabetes mellitus,Regimen in combination with:Metformin (DB00331)
DB00222,Management of,Type 2 diabetes mellitus,
DB00222,Used as adjunct in combination to manage,Type 2 diabetes mellitus,Combination Product in combination with:Pioglitazone (DB01132)
DB00222,Used as adjunct in combination to manage,Type 2 diabetes mellitus,Combination Product in combination with:Rosiglitazone (DB00412)
DB00222,Used as adjunct in combination to manage,Type 2 diabetes mellitus,Combination Product in combination with:Pioglitazone (DB01132)
DB00223,Symptomatic treatment of,Corticosteroid-responsive dermatoses,
DB00224,Used in combination to treat,Hiv-1 infection,
DB00225,Diagnostic agent,Cns abnormal vascularity,
DB00225,Diagnostic agent,Cns abnormal vascularity,
DB00225,Diagnostic agent,Stenosis,
DB00225,Diagnostic agent,Abnormal vascularity,
DB00225,Diagnostic agent,Abnormal vascularity,
DB00227,Adjunct therapy in management of,Apolipoprotein,
DB00227,Adjunct therapy in management of,Apolipoprotein,
DB00227,Adjunct therapy in management of,"Cholesterol, ldl",
DB00227,Adjunct therapy in management of,"Cholesterol, ldl",
DB00227,Adjunct therapy in management of,Coronary artery atherosclerosis,
DB00228,Used as adjunct in combination for therapy,Analgesia,
DB00228,Maintenance of,Analgesia,
DB00228,Maintenance of,Analgesia,
DB00228,Maintenance of,General anaesthesia,
DB00229,Treatment of,Susceptible infections,
DB00230,Management of,Diabetic peripheral neuropathic pain,
DB00230,Used in combination to manage,Epilepsies,Combination Product in combination with:Mecobalamin (DB03614)
DB00230,Management of,Fibromyalgia,
DB00230,Used in combination to manage,Fibromyalgia,Combination Product in combination with:Mecobalamin (DB03614)
DB00230,Used in combination for symptomatic treatment of,Fibromyalgia,Combination Product in combination with:Cyanocobalamin (DB00115)
DB00231,Used in combination to manage,Insomnia,Combination Product in combination with:Choline (DB00122)
DB00231,Management of,Insomnia,
DB00232,Adjunct therapy in treatment of,Edema,
DB00232,Adjunct therapy in treatment of,Edema,
DB00232,Adjunct therapy in treatment of,Edema,
DB00232,Adjunct therapy in treatment of,Edema,
DB00232,Adjunct therapy in treatment of,Edema,
DB00233,Used in combination to treat,Tuberculosis,
DB00234,For therapy,Major depressive disorder (mdd),
DB00234,Treatment of,Major depressive disorder (mdd),
DB00235,Treatment of,Acute decompensated heart failure,
DB00235,Treatment of,Congestive heart failure,
DB00236,Treatment of,Polycythemia,
DB00237,Treatment of,Insomnia,
DB00238,Used in combination to treat,Human immunodeficiency virus type 1 (hiv-1) infection,
DB00239,Treatment of,Fungal skin infection,
DB00239,Treatment of,Tinea corporis,
DB00239,Treatment of,Tinea cruris,
DB00239,Treatment of,Tinea pedis,
DB00239,Treatment of,Tinea versicolor,
DB00240,Treatment of,Corticosteroid-responsive dermatoses,
DB00241,Used in combination to manage,Tension headache,"Combination Product in combination with:Acetaminophen (DB00316),Caffeine (DB00201)"
DB00241,Used in combination to manage,Tension headache,Combination Product in combination with:Acetaminophen (DB00316)
DB00241,Used in combination to manage,Tension-type headache,"Combination Product in combination with:Acetaminophen (DB00316),Codeine (DB00318),Caffeine (DB00201)"
DB00242,Treatment of,Chronic lymphocytic leukemia,
DB00242,Treatment of,Cutaneous t-cell lymphoma,
DB00242,Treatment of,Hairy cell leukemia,
DB00242,Treatment of,Non-hodgkin's lymphoma,
DB00242,Treatment of,"Active confirmed by clinical features, confirmed by imaging features relapsing multiple sclerosis (ms)",
DB00243,Management of,Chronic angina,
DB00243,Management of,Ventricular arrhythmia,
DB00244,Prevention of,Crohn's disease relapse,
DB00244,Management of,Crohn's ileocolitis,
DB00244,Management of,Mild to moderate ulcerative colitis,
DB00244,Management of,Mild to moderate ulcerative colitis,
DB00244,Management of,Proctitis,
DB00245,Adjunct therapy in management of,Parkinsonism,
DB00246,Treatment of,Acute agitation,
DB00246,Treatment of,Agitation,
DB00246,Used as adjunct in combination to manage,Bipolar 1 disorder,
DB00246,Treatment of,Psychosis,
DB00246,Treatment of,Schizophrenia,
DB00248,Treatment of,Hyperprolactinemic disorder,
DB00248,Treatment of,Idiopathic hyperprolactinemic disorder,
DB00249,Treatment of,Corneal erosions,
DB00249,Treatment of,Herpes simplex virus keratitis,
DB00249,Treatment of,Keratitis viral,
DB00250,Treatment of,Acne vulgaris,
DB00250,Treatment of,Dermatitis herpetiformis,
DB00250,Treatment of,Leprosy,
DB00250,Management of,Pemphigus vulgaris,
DB00250,Management of,Relapsing polychondritis,
DB00251,Treatment of,Vulvovaginal candidiasis,
DB00252,Treatment of,Complex partial seizures,
DB00252,Used in combination to treat,Grand mal status epilepticus,"Combination Product in combination with:Phenobarbital (DB01174),Gamma-amino-beta-hydroxybutyric acid (DB15985)"
DB00252,Used in combination to treat,Grand mal generalized tonic-clonic seizure,Combination Product in combination with:Methylphenobarbital (DB00849)
DB00252,Treatment of,Grand mal generalized tonic-clonic seizure,
DB00252,Used in combination to treat,Jacksonian epilepsy,"Combination Product in combination with:Phenobarbital (DB01174),Gamma-amino-beta-hydroxybutyric acid (DB15985)"
DB00253,Treatment of,Conjunctivitis allergic,
DB00253,Treatment of,"Conjunctivitis, vernal",
DB00253,Treatment of,Epinephrine sensitivity,
DB00253,Treatment of,Episcleritis,
DB00254,Treatment of,Acinetobacter infections,
DB00254,Treatment of,Anthrax,
DB00254,Treatment of,Bacterial infection caused by enterobacter aerogenes,
DB00254,Treatment of,Bartonellosis,
DB00254,Used in combination to treat,Brucellosis,Regimen in combination with:Streptomycin (DB01082)
DB00256,Treatment of,Acne vulgaris,
DB00256,Treatment of,Susceptible bacterial infections,
DB00257,Treatment of,Athlete's foot,
DB00257,Treatment of,Balanitis candida,
DB00257,Used in combination to treat,Candidiasis,Combination Product in combination with:Dexamethasone (DB01234)
DB00257,Treatment of,Dermatomycoses,
DB00257,Treatment of,Ear infection fungal,
DB00258,Management of,Hyperphosphatemia,
DB00258,Used in combination to treat,High phosphate levels,Combination Product in combination with:Magnesium carbonate (DB09481)
DB00259,Treatment of,Vulvovaginal candidiasis,
DB00260,Treatment of,Acute urinary tract infection,
DB00260,Used in combination to treat,Pulmonary tuberculosis (tb),
DB00260,Used in combination to treat,"Tuberculosis, extrapulmonary",
DB00261,Treatment of,Thrombocythemia,
DB00262,Symptomatic treatment of,Astrocytoma,
DB00262,Symptomatic treatment of,Brainstem glioma,
DB00262,Symptomatic treatment of,Ependymoma,
DB00262,Symptomatic treatment of,Glioblastoma,
DB00262,Symptomatic treatment of,Medulloblastoma,
DB00263,Used in combination to treat,Acute otitis media,Combination Product in combination with:Erythromycin (DB00199)
DB00264,Management of,Angina pectoris,
DB00264,Management of,Atrial fibrillation,
DB00264,Management of,Hypertension,
DB00264,Used in combination to manage,Hypertension,Combination Product in combination with:Hydrochlorothiazide (DB00999)
DB00264,Prophylaxis of,Migraine,
DB00265,Management of,Pruritis of the skin,
DB00265,Treatment of,Scabies,
DB00268,Treatment of,"Parkinson disease, idiopathic",
DB00268,Management of,Parkinson's disease,
DB00268,Used in combination for symptomatic treatment of,Parkinson's disease,Regimen in combination with:Levodopa (DB01235)
DB00268,Treatment of,Moderate restless legs syndrome,
DB00268,Treatment of,Severe restless legs syndrome,
DB00270,Management of,Hypertension,
DB00273,Management of,Alcohol dependence,
DB00273,Adjunct therapy in management of,"Epilepsy, primary generalized tonic-clonic seizures",
DB00273,Management of,"Epilepsy, primary generalized tonic-clonic seizures",
DB00273,Adjunct therapy in management of,Lennox-gastaut syndrome,
