DrugBank ID,Water Solubility,logP,logS,pKa (Strongest Acidic),pKa (Strongest Basic),Physiological Charge,Hydrogen Acceptor Count,Hydrogen Donor Count,Polar Surface Area,Rotatable Bond Count,Refractivity,Polarizability,Number of Rings,Bioavailability,Rule of Five,Ghose Filter,Veber's Rule,MDDR-like Rule,Human Intestinal Absorption_Value,Human Intestinal Absorption_Probability,Blood Brain Barrier_Value,Blood Brain Barrier_Probability,Caco-2 permeable_Value,Caco-2 permeable_Probability,P-glycoprotein substrate_Value,P-glycoprotein substrate_Probability,P-glycoprotein inhibitor I_Value,P-glycoprotein inhibitor I_Probability,P-glycoprotein inhibitor II_Value,P-glycoprotein inhibitor II_Probability,Renal organic cation transporter_Value,Renal organic cation transporter_Probability,CYP450 2C9 substrate_Value,CYP450 2C9 substrate_Probability,CYP450 2D6 substrate_Value,CYP450 2D6 substrate_Probability,CYP450 3A4 substrate_Value,CYP450 3A4 substrate_Probability,CYP450 1A2 substrate_Value,CYP450 1A2 substrate_Probability,CYP450 2C9 inhibitor_Value,CYP450 2C9 inhibitor_Probability,CYP450 2D6 inhibitor_Value,CYP450 2D6 inhibitor_Probability,CYP450 2C19 inhibitor_Value,CYP450 2C19 inhibitor_Probability,CYP450 3A4 inhibitor_Value,CYP450 3A4 inhibitor_Probability,CYP450 inhibitory promiscuity_Value,CYP450 inhibitory promiscuity_Probability,Ames test_Value,Ames test_Probability,Carcinogenicity_Value,Carcinogenicity_Probability,Biodegradation_Value,Biodegradation_Probability,Rat acute toxicity_Value,Rat acute toxicity_Probability,hERG inhibition (predictor I)_Value,hERG inhibition (predictor I)_Probability,hERG inhibition (predictor II)_Value,hERG inhibition (predictor II)_Probability
DB00195,0.0298 mg/mL,2.54,-4,14.09,9.67,1,4,2,50.72 Å2,11,88.64 m3·mol-1,37.05 Å3,2,1,Yes,Yes,No,No,+,0.9903,-,0.8906,+,0.8866,Substrate,0.7683,Non-inhibitor,0.7967,Non-inhibitor,0.8547,Non-inhibitor,0.8206,Non-substrate,0.8106,Substrate,0.8918,Non-substrate,0.7221,Inhibitor,0.8972,Inhibitor,0.5241,Non-inhibitor,0.9231,Non-inhibitor,0.9249,Non-inhibitor,0.9647,Low CYP Inhibitory Promiscuity,0.9741,Non AMES toxic,0.8765,Non-carcinogens,0.9304,Not ready biodegradable,0.9395,"2.1620 LD50, mol/kg",Not applicable,Weak inhibitor,0.7663,Non-inhibitor,0.7498
DB17882,,-6.4,,,,-2,10,7,225.22 Å2,12,84.72 m3·mol-1,35.55 Å3,0,0,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB13852,0.0176 mg/mL,2.96,-4.1,,9.83,1,1,1,12.03 Å2,6,62.69 m3·mol-1,24.64 Å3,1,1,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00214,0.0596 mg/mL,1.86,-3.8,5.92,4.2,-1,5,3,100.19 Å2,4,91.89 m3·mol-1,36.15 Å3,2,1,Yes,Yes,No,No,+,0.9156,+,0.6871,-,0.5374,Non-substrate,0.799,Non-inhibitor,0.7695,Non-inhibitor,0.8232,Non-inhibitor,0.9185,Substrate,0.6049,Non-substrate,0.9116,Non-substrate,0.7558,Non-inhibitor,0.9045,Non-inhibitor,0.6692,Non-inhibitor,0.923,Non-inhibitor,0.9025,Inhibitor,0.5905,Low CYP Inhibitory Promiscuity,0.6324,Non AMES toxic,0.9133,Non-carcinogens,0.8366,Not ready biodegradable,1.0,"1.8740 LD50, mol/kg",Not applicable,Weak inhibitor,0.9854,Non-inhibitor,0.8668
DB02404,0.172 mg/mL,-0.4,-3.3,9.97,-2.7,0,7,2,75.61 Å2,19,87 m3·mol-1,40.13 Å3,0,1,Yes,Yes,No,No,+,0.8836,+,0.7317,-,0.6023,Non-substrate,0.5878,Non-inhibitor,0.858,Non-inhibitor,0.6728,Non-inhibitor,0.8701,Non-substrate,0.8519,Non-substrate,0.8639,Non-substrate,0.7405,Non-inhibitor,0.9347,Non-inhibitor,0.8972,Non-inhibitor,0.9593,Non-inhibitor,0.8874,Non-inhibitor,0.9386,Low CYP Inhibitory Promiscuity,0.9218,Non AMES toxic,0.8163,Non-carcinogens,0.753,Not ready biodegradable,0.8178,"1.2924 LD50, mol/kg",Not applicable,Weak inhibitor,0.8769,Non-inhibitor,0.82
DB11466,0.00375 mg/mL,3.44,-5,8.53,1.31,0,4,1,67.59 Å2,6,104.67 m3·mol-1,40.75 Å3,3,1,Yes,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB13867,0.0344 mg/mL,2.58,-4.1,12.19,-3.4,0,4,2,74.6 Å2,3,107.87 m3·mol-1,43.32 Å3,4,1,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB11478,0.164 mg/mL,4.45,-3.3,8.68,-1.3,0,4,3,86.99 Å2,0,88.25 m3·mol-1,34.72 Å3,2,1,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB11479,2.01 mg/mL,0.84,-2.1,12.8,9.14,1,3,3,64.6 Å2,2,74.06 m3·mol-1,27.87 Å3,3,1,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB11487,0.0254 mg/mL,2.96,-4.3,12.44,3.41,0,6,2,113.79 Å2,5,130.16 m3·mol-1,51.74 Å3,5,1,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB13917,6.28 mg/mL,0.32,-1.4,9.27,10.29,1,3,3,52.49 Å2,3,48.02 m3·mol-1,18.29 Å3,1,1,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB13929,0.00767 mg/mL,2.83,-4.9,7.72,-3.8,0,7,2,139.47 Å2,6,152.18 m3·mol-1,59.59 Å3,5,1,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB11510,0.0311 mg/mL,-1.9,-4.6,9.49,11.54,1,16,17,444.83 Å2,32,349.27 m3·mol-1,132.52 Å3,8,0,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00264,0.402 mg/mL,1.76,-2.8,14.09,9.67,1,4,2,50.72 Å2,9,76.7 m3·mol-1,31.9 Å3,1,1,Yes,Yes,No,No,+,0.9854,-,0.8426,+,0.6895,Substrate,0.7317,Non-inhibitor,0.8182,Non-inhibitor,0.8382,Non-inhibitor,0.8418,Non-substrate,0.81,Substrate,0.8918,Non-substrate,0.6527,Non-inhibitor,0.7018,Non-inhibitor,0.8691,Non-inhibitor,0.7909,Non-inhibitor,0.9555,Non-inhibitor,0.9476,Low CYP Inhibitory Promiscuity,0.9897,Non AMES toxic,0.9163,Non-carcinogens,0.9387,Not ready biodegradable,0.8544,"1.9180 LD50, mol/kg",Not applicable,Weak inhibitor,0.8368,Non-inhibitor,0.8202
DB13943,0.000437 mg/mL,6.11,-6,18.52,-4.8,0,2,0,43.37 Å2,5,119.36 m3·mol-1,49.84 Å3,5,1,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB13944,0.000463 mg/mL,6.29,-5.9,18.52,-4.8,0,2,0,43.37 Å2,7,116.61 m3·mol-1,49.18 Å3,4,1,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB13946,7.4e-05 mg/mL,8.06,-6.8,18.52,-4.8,0,2,0,43.37 Å2,11,135.02 m3·mol-1,57.8 Å3,4,0,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB13947,0.000122 mg/mL,8.49,-6.7,11.09,2.14,0,4,2,87.99 Å2,11,182.37 m3·mol-1,74.51 Å3,6,0,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB11541,0.0266 mg/mL,2.2,-4,9.19,9.89,1,4,4,72.72 Å2,7,87.62 m3·mol-1,33.58 Å3,2,1,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB13958,0.00582 mg/mL,3.79,-4.8,18.34,-4.7,0,2,0,43.37 Å2,2,93.65 m3·mol-1,38.59 Å3,4,1,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB11551,0.0586 mg/mL,2.25,-3.7,18.4,-0.89,0,2,1,37.3 Å2,0,81.65 m3·mol-1,31.26 Å3,4,1,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB18059,,3.6,,10.11,-2.8,0,4,2,90.19 Å2,3,106.1 m3·mol-1,42.83 Å3,3,1,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00295,10.2 mg/mL,0.9,-1.4,10.26,9.12,1,4,2,52.93 Å2,0,80.12 m3·mol-1,29.94 Å3,5,1,Yes,Yes,No,No,+,0.9971,+,0.9882,+,0.8867,Substrate,0.8787,Non-inhibitor,0.8782,Non-inhibitor,0.956,Inhibitor,0.6221,Non-substrate,0.7451,Substrate,0.8919,Substrate,0.7375,Non-inhibitor,0.5191,Non-inhibitor,0.9046,Non-inhibitor,0.647,Non-inhibitor,0.8155,Non-inhibitor,0.9176,Low CYP Inhibitory Promiscuity,0.7503,Non AMES toxic,0.9132,Non-carcinogens,0.9634,Not ready biodegradable,0.9944,"2.8989 LD50, mol/kg",Not applicable,Weak inhibitor,0.8367,Non-inhibitor,0.874
DB11609,0.00737 mg/mL,4.59,-4.6,18.8,8.83,1,2,0,20.31 Å2,7,92.85 m3·mol-1,34.67 Å3,2,1,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB11610,12.2 mg/mL,0.28,-1.2,9.19,9.8,1,3,3,52.49 Å2,3,51.67 m3·mol-1,19.98 Å3,1,1,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00327,4.39 mg/mL,1.47,-1.8,10.17,9.08,1,4,1,49.77 Å2,0,78.26 m3·mol-1,30.02 Å3,5,1,Yes,Yes,No,No,+,1.0,+,0.9931,+,0.8647,Substrate,0.8174,Non-inhibitor,0.8497,Non-inhibitor,0.9641,Inhibitor,0.6374,Non-substrate,0.7925,Substrate,0.8618,Substrate,0.7571,Non-inhibitor,0.6918,Non-inhibitor,0.9539,Non-inhibitor,0.5197,Non-inhibitor,0.8088,Non-inhibitor,0.8177,Low CYP Inhibitory Promiscuity,0.9413,Non AMES toxic,0.7214,Non-carcinogens,0.9554,Not ready biodegradable,0.9815,"2.9191 LD50, mol/kg",Not applicable,Weak inhibitor,0.8906,Non-inhibitor,0.8992
DB11619,0.00969 mg/mL,2.85,-4.5,17.88,-1.5,0,2,1,37.3 Å2,1,93.73 m3·mol-1,35.55 Å3,4,1,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00333,0.0059 mg/mL,5.01,-4.7,19.79,9.12,1,2,0,20.31 Å2,7,97.27 m3·mol-1,36.28 Å3,2,1,No,Yes,Yes,No,+,0.9968,+,0.9772,+,0.7841,Substrate,0.6224,Inhibitor,0.7627,Non-inhibitor,0.9101,Non-inhibitor,0.5851,Non-substrate,0.7822,Non-substrate,0.7743,Substrate,0.66,Inhibitor,0.5312,Non-inhibitor,0.864,Inhibitor,0.5449,Non-inhibitor,0.8177,Non-inhibitor,0.5507,Low CYP Inhibitory Promiscuity,0.6586,Non AMES toxic,0.946,Carcinogens,0.6315,Not ready biodegradable,0.9888,"3.5250 LD50, mol/kg",Not applicable,Weak inhibitor,0.947,Inhibitor,0.7606
DB00335,0.429 mg/mL,0.43,-2.8,14.08,9.67,1,4,3,84.58 Å2,8,73.51 m3·mol-1,29.98 Å3,1,1,Yes,Yes,No,No,+,0.9831,-,0.9505,-,0.7922,Substrate,0.6773,Non-inhibitor,0.9446,Non-inhibitor,0.9856,Non-inhibitor,0.8959,Non-substrate,0.8416,Substrate,0.5468,Non-substrate,0.6826,Non-inhibitor,0.9045,Non-inhibitor,0.9163,Non-inhibitor,0.9231,Non-inhibitor,0.9026,Non-inhibitor,0.9379,Low CYP Inhibitory Promiscuity,0.9537,Non AMES toxic,0.9132,Non-carcinogens,0.8691,Not ready biodegradable,0.8969,"2.0932 LD50, mol/kg",Not applicable,Weak inhibitor,0.996,Non-inhibitor,0.8861
DB04733,16.2 mg/mL,-4,-1.3,1.19,-3.5,-4,10,8,214.44 Å2,9,60.15 m3·mol-1,26.26 Å3,0,0,No,No,No,No,-,0.9744,+,0.8109,-,0.7648,Non-substrate,0.6486,Non-inhibitor,0.8664,Non-inhibitor,0.9642,Non-inhibitor,0.9402,Non-substrate,0.8431,Non-substrate,0.8404,Non-substrate,0.6431,Non-inhibitor,0.9134,Non-inhibitor,0.8978,Non-inhibitor,0.9118,Non-inhibitor,0.8735,Non-inhibitor,0.9611,Low CYP Inhibitory Promiscuity,0.9763,Non AMES toxic,0.847,Non-carcinogens,0.6964,Not ready biodegradable,0.5977,"2.1120 LD50, mol/kg",Not applicable,Weak inhibitor,0.9292,Non-inhibitor,0.8774
DB00357,0.371 mg/mL,1.3,-2.8,11.69,4.28,0,3,2,72.19 Å2,2,65.35 m3·mol-1,24.69 Å3,2,1,Yes,Yes,No,No,+,0.9811,+,0.9908,+,0.5,Substrate,0.7352,Non-inhibitor,0.7439,Non-inhibitor,0.9432,Non-inhibitor,0.8514,Non-substrate,0.8342,Non-substrate,0.9116,Non-substrate,0.5505,Non-inhibitor,0.9045,Non-inhibitor,0.9071,Non-inhibitor,0.923,Non-inhibitor,0.9026,Non-inhibitor,0.8309,Low CYP Inhibitory Promiscuity,0.8682,Non AMES toxic,0.8016,Non-carcinogens,0.8401,Not ready biodegradable,1.0,"2.7219 LD50, mol/kg",Not applicable,Weak inhibitor,0.99,Non-inhibitor,0.6295
DB00368,12.5 mg/mL,-0.68,-1.1,9.5,8.85,1,4,4,86.71 Å2,2,44.46 m3·mol-1,16.96 Å3,1,1,Yes,No,No,No,+,0.9837,-,0.9762,-,0.7985,Non-substrate,0.6046,Non-inhibitor,0.9441,Non-inhibitor,0.9285,Non-inhibitor,0.9004,Non-substrate,0.8702,Non-substrate,0.8667,Non-substrate,0.7986,Non-inhibitor,0.9135,Non-inhibitor,0.9675,Non-inhibitor,0.9798,Non-inhibitor,0.9446,Non-inhibitor,0.9209,Low CYP Inhibitory Promiscuity,0.8839,Non AMES toxic,0.5053,Non-carcinogens,0.8942,Ready biodegradable,0.5401,"2.2298 LD50, mol/kg",Not applicable,Weak inhibitor,0.9028,Non-inhibitor,0.7864
DB00373,0.269 mg/mL,1.34,-3.1,14.08,9.76,1,7,2,79.74 Å2,7,83.92 m3·mol-1,33.86 Å3,2,1,Yes,Yes,No,No,+,0.9958,-,0.6467,+,0.8867,Substrate,0.8522,Non-inhibitor,0.6567,Non-inhibitor,0.9552,Non-inhibitor,0.9105,Non-substrate,0.7898,Substrate,0.8918,Substrate,0.5389,Non-inhibitor,0.9046,Non-inhibitor,0.9071,Inhibitor,0.8932,Non-inhibitor,0.9026,Non-inhibitor,0.8309,Low CYP Inhibitory Promiscuity,0.8678,Non AMES toxic,0.9132,Non-carcinogens,0.7338,Not ready biodegradable,1.0,"2.6096 LD50, mol/kg",Not applicable,Weak inhibitor,0.9214,Non-inhibitor,0.7334
DB11682,0.345 mg/mL,1.4,-3.1,0.35,-9.1,-2,6,2,124.09 Å2,5,96.89 m3·mol-1,40.18 Å3,3,1,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB18214,,0.68,,11.89,8.34,1,6,2,122.04 Å2,7,141.39 m3·mol-1,56.61 Å3,4,1,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00384,0.963 mg/mL,1.11,-2.4,15.88,1.86,0,7,3,129.62 Å2,1,75.13 m3·mol-1,25.9 Å3,3,1,Yes,Yes,No,No,+,1.0,+,0.8735,+,0.7017,Non-substrate,0.6269,Non-inhibitor,0.8782,Non-inhibitor,0.8814,Non-inhibitor,0.8437,Non-substrate,0.8949,Non-substrate,0.8892,Non-substrate,0.7542,Inhibitor,0.9107,Non-inhibitor,0.907,Non-inhibitor,0.9231,Non-inhibitor,0.9025,Non-inhibitor,0.831,Low CYP Inhibitory Promiscuity,0.6161,Non AMES toxic,0.8934,Non-carcinogens,0.9092,Not ready biodegradable,0.9959,"2.7706 LD50, mol/kg",Not applicable,Weak inhibitor,0.9604,Non-inhibitor,0.6829
DB14093,0.0333 mg/mL,3.37,-3.9,18.52,-0.88,0,2,1,37.3 Å2,0,84.43 m3·mol-1,34.05 Å3,4,1,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
