DrugBank ID,Description,Kingdom,Super Class,Class,Sub Class,Direct Parent,Alternative Parents,Substituents,Molecular Framework,External Descriptors
DB00180,This compound belongs to the class of organic compounds known as 21-hydroxysteroids. These are steroids carrying a hydroxyl group at the 21-position of the steroid backbone.,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids,21-hydroxysteroids,"['Gluco/mineralocorticoids, progestogins and derivatives', '20-oxosteroids', '11-beta-hydroxysteroids', '3-oxo delta-1,4-steroids', 'Halogenated steroids', 'Delta-1,4-steroids', 'Ketals', '1,3-dioxolanes', 'Alpha-hydroxy ketones', 'Secondary alcohols', 'Cyclic ketones', 'Cyclic alcohols and derivatives', 'Oxacyclic compounds', 'Alkyl fluorides', 'Hydrocarbon derivatives', 'Organic oxides', 'Organofluorides', 'Primary alcohols']","['11-beta-hydroxysteroid', '11-hydroxysteroid', '20-oxosteroid', '21-hydroxysteroid', '3-oxo-delta-1,4-steroid', '3-oxosteroid', '6-halo-steroid', 'Acetal', 'Alcohol', 'Aliphatic heteropolycyclic compound', 'Alkyl fluoride', 'Alkyl halide', 'Alpha-hydroxy ketone', 'Carbonyl group', 'Cyclic alcohol', 'Cyclic ketone', 'Delta-1,4-steroid', 'Halo-steroid', 'Hydrocarbon derivative', 'Ketal', 'Ketone', 'Meta-dioxolane', 'Organic oxide', 'Organic oxygen compound', 'Organofluoride', 'Organohalogen compound', 'Organoheterocyclic compound', 'Organooxygen compound', 'Oxacycle', 'Oxosteroid', 'Pregnane-skeleton', 'Primary alcohol', 'Progestogin-skeleton', 'Secondary alcohol']",Aliphatic heteropolycyclic compounds,"11beta-hydroxy steroid, cyclic ketal, 20-oxo steroid, fluorinated steroid, 3-oxo-Delta(1),Delta(4)-steroid, 21-hydroxy steroid (CHEBI:5106)"
DB00187,This compound belongs to the class of organic compounds known as phenol ethers. These are aromatic compounds containing an ether group substituted with a benzene ring.,Organic compounds,Benzenoids,Phenol ethers,Not Available,Phenol ethers,"['Phenoxy compounds', 'Fatty acid esters', 'Alkyl aryl ethers', 'Methyl esters', 'Secondary alcohols', 'Amino acids and derivatives', '1,2-aminoalcohols', 'Monocarboxylic acids and derivatives', 'Dialkylamines', 'Organopnictogen compounds', 'Organic oxides', 'Hydrocarbon derivatives', 'Carbonyl compounds']","['1,2-aminoalcohol', 'Alcohol', 'Alkyl aryl ether', 'Amine', 'Amino acid or derivatives', 'Aromatic homomonocyclic compound', 'Carbonyl group', 'Carboxylic acid derivative', 'Carboxylic acid ester', 'Ether', 'Fatty acid ester', 'Fatty acyl', 'Hydrocarbon derivative', 'Methyl ester', 'Monocarboxylic acid or derivatives', 'Monocyclic benzene moiety', 'Organic nitrogen compound', 'Organic oxide', 'Organic oxygen compound', 'Organonitrogen compound', 'Organooxygen compound', 'Organopnictogen compound', 'Phenol ether', 'Phenoxy compound', 'Secondary alcohol', 'Secondary aliphatic amine', 'Secondary amine']",Aromatic homomonocyclic compounds,"aromatic ether, secondary alcohol, secondary amino compound, methyl ester, ethanolamines (CHEBI:4856)"
DB13827,"This compound belongs to the class of organic compounds known as indanes. These are compounds containing an indane moiety, which consists of a cyclopentane fused to a benzene ring.",Organic compounds,Benzenoids,Indanes,Not Available,Indanes,"['Imidazolines', 'Guanidines', 'Propargyl-type 1,3-dipolar organic compounds', 'Carboximidamides', 'Azacyclic compounds', 'Organopnictogen compounds', 'Hydrocarbon derivatives']","['2-imidazoline', 'Aromatic heteropolycyclic compound', 'Azacycle', 'Carboximidamide', 'Guanidine', 'Hydrocarbon derivative', 'Indane', 'Organic 1,3-dipolar compound', 'Organic nitrogen compound', 'Organoheterocyclic compound']",Aromatic heteropolycyclic compounds,Not Available
DB17818,,,,,,,,,,
DB00191,This compound belongs to the class of organic compounds known as amphetamines and derivatives. These are organic compounds containing or derived from 1-phenylpropan-2-amine.,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenethylamines,Amphetamines and derivatives,"['Phenylpropanes', 'Aralkylamines', 'Organopnictogen compounds', 'Monoalkylamines', 'Hydrocarbon derivatives']","['Amine', 'Amphetamine or derivatives', 'Aralkylamine', 'Aromatic homomonocyclic compound', 'Hydrocarbon derivative', 'Organic nitrogen compound', 'Organonitrogen compound', 'Organopnictogen compound', 'Phenylpropane', 'Primary aliphatic amine']",Aromatic homomonocyclic compounds,primary amine (CHEBI:8080)
DB00193,,,,,,,,,,
DB11429,This compound belongs to the class of organic compounds known as estrogens and derivatives. These are steroids with a structure containing a 3-hydroxylated estrane.,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids,Estrogens and derivatives,"['3-oxo delta-4-steroids', '17-hydroxysteroids', 'Delta-4-steroids', 'Cyclohexenones', 'Tertiary alcohols', 'Cyclic alcohols and derivatives', 'Organic oxides', 'Hydrocarbon derivatives']","['17-hydroxysteroid', '3-oxo-delta-4-steroid', '3-oxosteroid', 'Alcohol', 'Aliphatic homopolycyclic compound', 'Carbonyl group', 'Cyclic alcohol', 'Cyclic ketone', 'Cyclohexenone', 'Delta-4-steroid']",Aliphatic homopolycyclic compounds,"3-oxo Delta(4)-steroid, 17beta-hydroxy steroid (CHEBI:34849)"
DB00195,This compound belongs to the class of organic compounds known as tyrosols and derivatives. These are compounds containing a hydroxyethyl group attached to the C4 carbon of a phenol group.,Organic compounds,Benzenoids,Phenols,Tyrosols and derivatives,Tyrosols and derivatives,"['Phenoxy compounds', 'Phenol ethers', 'Alkyl aryl ethers', 'Secondary alcohols', '1,2-aminoalcohols', 'Dialkylamines', 'Dialkyl ethers', 'Organopnictogen compounds', 'Hydrocarbon derivatives']","['1,2-aminoalcohol', 'Alcohol', 'Alkyl aryl ether', 'Amine', 'Aromatic homomonocyclic compound', 'Dialkyl ether', 'Ether', 'Hydrocarbon derivative', 'Monocyclic benzene moiety', 'Organic nitrogen compound']",Aromatic homomonocyclic compounds,propanolamine (CHEBI:3082)
DB17882,,,,,,,,,,
DB13852,This compound belongs to the class of organic compounds known as amphetamines and derivatives. These are organic compounds containing or derived from 1-phenylpropan-2-amine.,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenethylamines,Amphetamines and derivatives,"['Phenylpropanes', 'Aralkylamines', 'Dialkylamines', 'Organopnictogen compounds', 'Organochlorides', 'Hydrocarbon derivatives', 'Alkyl chlorides']","['Alkyl chloride', 'Alkyl halide', 'Amine', 'Amphetamine or derivatives', 'Aralkylamine', 'Aromatic homomonocyclic compound', 'Hydrocarbon derivative', 'Organic nitrogen compound', 'Organochloride', 'Organohalogen compound']",Aromatic homomonocyclic compounds,Not Available
DB00214,This compound belongs to the class of organic compounds known as pyridinesulfonamides. These are heterocyclic compounds containing a pyridine ring substituted by one or more sulfonamide groups.,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinesulfonamides,Pyridinesulfonamides,"['Toluenes', 'Sulfonylureas', 'Dihydropyridines', 'Secondary ketimines', 'Organosulfonic acids and derivatives', 'Heteroaromatic compounds', 'Aminosulfonyl compounds', 'Propargyl-type 1,3-dipolar organic compounds', 'Carboximidic acids and derivatives', 'Azacyclic compounds', 'Organopnictogen compounds', 'Organooxygen compounds', 'Organic oxides', 'Hydrocarbon derivatives']","['Aminosulfonyl compound', 'Aromatic heteromonocyclic compound', 'Azacycle', 'Benzenoid', 'Carboximidic acid derivative', 'Dihydropyridine', 'Heteroaromatic compound', 'Hydrocarbon derivative', 'Hydropyridine', 'Monocyclic benzene moiety', 'Organic 1,3-dipolar compound', 'Organic nitrogen compound', 'Organic oxide', 'Organic oxygen compound', 'Organic sulfonic acid or derivatives', 'Organonitrogen compound', 'Organooxygen compound', 'Organopnictogen compound', 'Organosulfonic acid or derivatives', 'Organosulfur compound', 'Propargyl-type 1,3-dipolar organic compound', 'Pyridine-3-sulfonamide', 'Secondary ketimine', 'Sulfonyl', 'Sulfonylurea', 'Toluene']",Aromatic heteromonocyclic compounds,"secondary amino compound, aminopyridine, N-sulfonylurea (CHEBI:9637)"
DB02404,"This compound belongs to the class of organic compounds known as polyethylene glycols. These are oligomers or polymers of ethylene oxide, with the general formula (C2H4O)n (with n>=3).",Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ethers,Polyethylene glycols,"['Alkylthiols', 'Primary alcohols', 'Hydrocarbon derivatives']","['Alcohol', 'Aliphatic acyclic compound', 'Alkylthiol', 'Hydrocarbon derivative', 'Organosulfur compound', 'Polyethylene glycol', 'Primary alcohol']",Aliphatic acyclic compounds,Not Available
DB11466,"This compound belongs to the class of organic compounds known as phenylpyrazoles. These are compounds containing a phenylpyrazole skeleton, which consists of a pyrazole bound to a phenyl group.",Organic compounds,Organoheterocyclic compounds,Azoles,Pyrazoles,Phenylpyrazoles,"['Methoxyanilines', 'Phenoxy compounds', 'Anisoles', 'Methoxybenzenes', 'Alkyl aryl ethers', 'Chlorobenzenes', 'Aryl chlorides', 'Heteroaromatic compounds', 'Hydroxamic acids', 'Azacyclic compounds', 'Hydrocarbon derivatives', 'Carbonyl compounds', 'Organic oxides', 'Organochlorides', 'Organonitrogen compounds', 'Organopnictogen compounds']","['Alkyl aryl ether', 'Anisole', 'Aromatic heteromonocyclic compound', 'Aryl chloride', 'Aryl halide', 'Azacycle', 'Benzenoid', 'Carbonyl group', 'Carboxylic acid derivative', 'Chlorobenzene', 'Ether', 'Halobenzene', 'Heteroaromatic compound', 'Hydrocarbon derivative', 'Hydroxamic acid', 'Methoxyaniline', 'Methoxybenzene', 'Monocyclic benzene moiety', 'Organic nitrogen compound', 'Organic oxide', 'Organic oxygen compound', 'Organochloride', 'Organohalogen compound', 'Organonitrogen compound', 'Organooxygen compound', 'Organopnictogen compound', 'Phenol ether', 'Phenoxy compound', 'Phenylpyrazole']",Aromatic heteromonocyclic compounds,"pyrazoles, aromatic ether, monochlorobenzenes, hydroxamic acid (CHEBI:76277)"
DB13867,This compound belongs to the class of organic compounds known as androgens and derivatives. These are 3-hydroxylated C19 steroid hormones. They are known to favor the development of masculine characteristics. They also show profound effects on scalp and body hair in humans.,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,Androgens and derivatives,"['11-beta-hydroxysteroids', '17-hydroxysteroids', '3-oxo delta-1,4-steroids', 'Halogenated steroids', 'Delta-1,4-steroids', 'Tertiary alcohols', 'Thioesters', 'Secondary alcohols', 'Carbothioic S-esters', 'Cyclic alcohols and derivatives', 'Cyclic ketones', 'Fluorohydrins', 'Sulfenyl compounds', 'Carboxylic acids and derivatives', 'Alkyl fluorides', 'Organofluorides', 'Organic oxides', 'Hydrocarbon derivatives']","['11-beta-hydroxysteroid', '11-hydroxysteroid', '17-hydroxysteroid', '3-oxo-delta-1,4-steroid', '3-oxosteroid', '6-halo-steroid', '9-halo-steroid', 'Alcohol', 'Aliphatic homopolycyclic compound', 'Alkyl fluoride', 'Alkyl halide', 'Androgen-skeleton', 'Carbonyl group', 'Carbothioic s-ester', 'Carboxylic acid derivative', 'Cyclic alcohol', 'Cyclic ketone', 'Delta-1,4-steroid', 'Fluorohydrin', 'Halo-steroid', 'Halohydrin', 'Hydrocarbon derivative', 'Hydroxysteroid', 'Ketone', 'Organic oxide', 'Organic oxygen compound', 'Organofluoride', 'Organohalogen compound', 'Organooxygen compound', 'Organosulfur compound', 'Oxosteroid', 'Secondary alcohol', 'Sulfenyl compound', 'Tertiary alcohol', 'Thiocarboxylic acid ester', 'Thiocarboxylic acid or derivatives']",Aliphatic homopolycyclic compounds,"thioester, 11beta-hydroxy steroid, 17alpha-hydroxy steroid, 3-oxo Delta(4)-steroid, fluorinated steroid, corticosteroid (CHEBI:5134)"
DB11478,This compound belongs to the class of organic compounds known as macrolides and analogues. These are organic compounds containing a lactone ring of at least twelve members.,Organic compounds,Phenylpropanoids and polyketides,Macrolides and analogues,Not Available,Macrolides and analogues,"['Hydroxybenzoic acid derivatives', '1-hydroxy-4-unsubstituted benzenoids', '1-hydroxy-2-unsubstituted benzenoids', 'Vinylogous acids', 'Secondary alcohols', 'Lactones', 'Carboxylic acid esters', 'Polyols', 'Oxacyclic compounds', 'Monocarboxylic acids and derivatives', 'Organic oxides', 'Hydrocarbon derivatives']","['1-hydroxy-2-unsubstituted benzenoid', '1-hydroxy-4-unsubstituted benzenoid', 'Alcohol', 'Aromatic heteropolycyclic compound', 'Benzenoid', 'Carboxylic acid derivative', 'Carboxylic acid ester', 'Dihydroxybenzoic acid', 'Hydrocarbon derivative', 'Lactone', 'Macrolide', 'Monocarboxylic acid or derivatives', 'Organic oxide', 'Organic oxygen compound', 'Organoheterocyclic compound', 'Organooxygen compound', 'Oxacycle', 'Polyol', 'Secondary alcohol', 'Vinylogous acid']",Aromatic heteropolycyclic compounds,macrolide (CHEBI:35064)  / Mycotoxins (C14752)
DB11479,This compound belongs to the class of organic compounds known as benzazepines. These are organic compounds containing a benzene ring fused to an azepine ring (unsaturated seven-membered heterocycle with one nitrogen atom replacing a carbon atom).,Organic compounds,Organoheterocyclic compounds,Benzazepines,Not Available,Benzazepines,"['Benzimidazoles', 'Azepines', 'Aralkylamines', 'N-substituted imidazoles', 'Benzenoids', 'Heteroaromatic compounds', 'Ureas', 'Secondary alcohols', '1,2-aminoalcohols', 'Dialkylamines', 'Azacyclic compounds', 'Organopnictogen compounds', 'Organic oxides', 'Hydrocarbon derivatives']","['1,2-aminoalcohol', 'Alcohol', 'Amine', 'Aralkylamine', 'Aromatic heteropolycyclic compound', 'Azacycle', 'Azepine', 'Azole', 'Benzazepine', 'Benzenoid', 'Benzimidazole', 'Heteroaromatic compound', 'Hydrocarbon derivative', 'Imidazole', 'N-substituted imidazole', 'Organic nitrogen compound', 'Organic oxide', 'Organic oxygen compound', 'Organonitrogen compound', 'Organooxygen compound', 'Organopnictogen compound', 'Secondary alcohol', 'Secondary aliphatic amine', 'Secondary amine', 'Urea']",Aromatic heteropolycyclic compounds,Not Available
DB11487,"This compound belongs to the class of organic compounds known as gluco/mineralocorticoids, progestogins and derivatives. These are steroids with a structure based on a hydroxylated prostane moiety.",Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Pregnane steroids,"Gluco/mineralocorticoids, progestogins and derivatives","['20-oxosteroids', '11-beta-hydroxysteroids', '17-hydroxysteroids', '3-oxo delta-1,4-steroids', 'Halogenated steroids', 'Delta-1,4-steroids', 'Pyridinecarboxylic acids', 'Tertiary alcohols', 'Alpha-hydroxy ketones', 'Heteroaromatic compounds', 'Secondary alcohols', 'Carboxylic acid esters', 'Cyclic alcohols and derivatives', 'Cyclic ketones', 'Fluorohydrins', 'Azacyclic compounds', 'Monocarboxylic acids and derivatives', 'Organopnictogen compounds', 'Organic oxides', 'Organonitrogen compounds', 'Organofluorides', 'Alkyl fluorides', 'Hydrocarbon derivatives']","['11-beta-hydroxysteroid', '11-hydroxysteroid', '17-hydroxysteroid', '20-oxosteroid', '3-oxo-delta-1,4-steroid', '3-oxosteroid', '9-halo-steroid', 'Alcohol', 'Alkyl fluoride', 'Alkyl halide', 'Alpha-hydroxy ketone', 'Aromatic heteropolycyclic compound', 'Azacycle', 'Carbonyl group', 'Carboxylic acid derivative', 'Carboxylic acid ester', 'Cyclic alcohol', 'Cyclic ketone', 'Delta-1,4-steroid', 'Fluorohydrin', 'Halo-steroid', 'Halohydrin', 'Heteroaromatic compound', 'Hydrocarbon derivative', 'Hydroxysteroid', 'Ketone', 'Monocarboxylic acid or derivatives', 'Organic nitrogen compound', 'Organic oxide', 'Organic oxygen compound', 'Organofluoride', 'Organohalogen compound', 'Organoheterocyclic compound', 'Organonitrogen compound', 'Organooxygen compound', 'Organopnictogen compound', 'Oxosteroid', 'Progestogin-skeleton', 'Pyridine', 'Pyridine carboxylic acid', 'Pyridine carboxylic acid or derivatives', 'Secondary alcohol', 'Tertiary alcohol']",Aromatic heteropolycyclic compounds,Not Available
DB13917,,,,,,,,,,
DB13929,,,,,,,,,,
