DrugBank ID,Name,Drug Groups,SMILES,Formula,Doping,Drug Categories,Target_Names,Similar Structure,State
DB00214,Torasemide,approved,CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1,C16H20N4O3S,1,"Antihypertensive Agents, Antihypertensive Agents Indicated for Hypertension, Cardiovascular Agents, Cytochrome P-450 CYP2C8 Substrates, Cytochrome P-450 CYP2C9 Inhibitors, Cytochrome P-450 CYP2C9 Inhibitors (strength unknown), Cytochrome P-450 CYP2C9 Substrates, Cytochrome P-450 Enzyme Inhibitors, Cytochrome P-450 Substrates, Diuretics, High-Ceiling Diuretics, Hyperglycemia-Associated Agents, Hypotensive Agents, Increased Diuresis at Loop of Henle, Membrane Transport Modulators, Natriuretic Agents, Non Potassium Sparing Diuretics, OATP1B1/SLCO1B1 Substrates, Ototoxic agents, Pyridines, Sodium Potassium Chloride Symporter Inhibitors, Sulfonamides, Sulfones, Sulfur Compounds"," Solute carrier family 12 member 2,  Solute carrier family 12 member 1,  Cytochrome P450 2C8,  Cytochrome P450 2C9,  Serum albumin,  Solute carrier organic anion transporter family member 1B1",DB00214,Solid
DB02404,1-Deoxy-1-Thio-Heptaethylene Glycol,experimental,OCCOCCOCCOCCOCCOCCOCCS,C14H30O7S,1,, Acetylcholinesterase,DB02404,Not Available
DB11466,Tepoxalin,vet_approved,COC1=CC=C(C=C1)N1N=C(CCC(=O)N(C)O)C=C1C1=CC=C(Cl)C=C1,C20H20ClN3O3,1,"Agents causing hyperkalemia, Agents that produce hypertension, Analgesics, Analgesics, Non-Narcotic, Anti-Inflammatory Agents, Anti-Inflammatory Agents, Non-Steroidal, Antirheumatic Agents, Immunologic Factors, Immunosuppressive Agents, Nephrotoxic agents, Non COX-2 selective NSAIDS, Peripheral Nervous System Agents, Sensory System Agents",,DB11466,State information not found
DB13867,Fluticasone,approved; experimental,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)SCF)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,C22H27F3O4S,1,"Adrenal Cortex Hormones, Androstadienes, Androstanes, Androstenes, Anti-Allergic Agents, Anti-Asthmatic Agents, Anti-Inflammatory Agents, Autonomic Agents, Bronchodilator Agents, Corticosteroid Hormone Receptor Agonists, Corticosteroids, Corticosteroids, Dermatological Preparations, Corticosteroids, Potent (Group III), Cytochrome P-450 CYP2C8 Inhibitors, Cytochrome P-450 CYP2C8 Inhibitors (strong), Cytochrome P-450 CYP3A Inducers, Cytochrome P-450 CYP3A Inhibitors, Cytochrome P-450 CYP3A Substrates, Cytochrome P-450 CYP3A4 Inducers, Cytochrome P-450 CYP3A4 Inducers (strength unknown), Cytochrome P-450 CYP3A4 Inhibitors, Cytochrome P-450 CYP3A4 Inhibitors (strength unknown), Cytochrome P-450 CYP3A4 Substrates, Cytochrome P-450 CYP3A5 Inducers, Cytochrome P-450 CYP3A5 Inducers (strength unknown), Cytochrome P-450 CYP3A5 Inhibitors, Cytochrome P-450 CYP3A5 Inhibitors (strength unknown), Cytochrome P-450 CYP3A5 Substrates, Cytochrome P-450 CYP3A7 Substrates, Cytochrome P-450 Enzyme Inducers, Cytochrome P-450 Enzyme Inhibitors, Cytochrome P-450 Substrates, Dermatologicals, Drugs for Obstructive Airway Diseases, Fused-Ring Compounds, Glucocorticoids, Hyperglycemia-Associated Agents, Immunosuppressive Agents, Nasal Preparations, OATP1B1/SLCO1B1 Inhibitors, P-glycoprotein substrates, Peripheral Nervous System Agents, Respiratory System Agents, Steroids, Thyroxine-binding globulin inhibitors"," Glucocorticoid receptor,  Progesterone receptor,  Cytosolic phospholipase A2,  Mineralocorticoid receptor,  Cytochrome P450 3A4,  Cytochrome P450 3A5,  Cytochrome P450 3A7,  Cytochrome P450 2C8,  Corticosteroid-binding globulin,  P-glycoprotein 1,  Solute carrier organic anion transporter family member 1B1,  P-glycoprotein 1,  Solute carrier organic anion transporter family member 1B1","DB13867, DB00588, DB00223, DB00663, DB09095, DB12553, DB00596, DB14664, DB13728, DB01384, DB09378, DB06781, DB00324, DB08971, DB00443, DB01234, DB11522, DB13491, DB13223, DB12322, DB08970, DB00547, DB11750, DB15777, DB14637, DB14657, DB00620, DB00591, DB08906, DB15821",Solid
DB11478,Zeranol,experimental; vet_approved,C[C@H]1CCC[C@H](O)CCCCCC2=CC(O)=CC(O)=C2C(=O)O1,C18H26O5,1,"Benzene Derivatives, Estrogens, Estrogens, Non-Steroidal, Hormones, Hormones, Hormone Substitutes, and Hormone Antagonists, Lactones, Phenols, Resorcinols, Zearalenone"," Estrogen receptor alpha,  Sex hormone-binding globulin",DB11478,State information not found
DB11479,Zilpaterol,vet_approved,CC(C)N[C@@H]1CCN2C(=O)NC3=CC=CC([C@H]1O)=C23,C14H19N3O2,1,"Heterocyclic Compounds, Fused-Ring, Organosilicon Compounds, Receptors, Adrenergic, beta",,"DB11479, DB06477",State information not found
DB11487,Dexamethasone isonicotinate,vet_approved,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)COC(=O)C3=CC=NC=C3)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,C28H32FNO6,1,"Adrenal Cortex Hormones, Anti-Allergic Agents, Anti-Inflammatory Agents, Corticosteroids, Cytochrome P-450 CYP3A Inducers, Cytochrome P-450 CYP3A Inhibitors, Cytochrome P-450 CYP3A Substrates, Cytochrome P-450 CYP3A4 Inducers, Cytochrome P-450 CYP3A4 Inducers (strength unknown), Cytochrome P-450 CYP3A4 Inhibitors, Cytochrome P-450 CYP3A4 Inhibitors (strength unknown), Cytochrome P-450 CYP3A4 Substrates, Cytochrome P-450 CYP3A5 Inducers, Cytochrome P-450 CYP3A5 Inducers (strength unknown), Cytochrome P-450 Enzyme Inducers, Cytochrome P-450 Enzyme Inhibitors, Cytochrome P-450 Substrates, Fused-Ring Compounds, Glucocorticoids, Hormones, Hormones, Hormone Substitutes, and Hormone Antagonists, Hyperglycemia-Associated Agents, Immunosuppressive Agents, Pregnadienes, Pregnadienetriols, Pregnanes, Steroids, Steroids, Fluorinated"," Cytochrome P450 3A4,  Cytochrome P450 3A5","DB11487, DB14640, DB14649, DB14634, DB14703, DB01013, DB06781, DB14637, DB14657, DB14664, DB00288, DB00443, DB01234, DB11522, DB13491, DB15566",State information not found
DB13917,Deoxyepinephrine,experimental,CNCCC1=CC(O)=C(O)C=C1,C9H13NO2,1,"Agents that produce hypertension, Amines, Benzene Derivatives, Catecholamines, Catechols, Epinephrine and similars, Phenols",,"DB13917, DB00988, DB12313, DB00668, DB13394, DB00388, DB00368, DB01064, DB08985",State information not found
DB13929,Relcovaptan,investigational,COC1=CC=C(C=C1OC)S(=O)(=O)N1[C@@H](C(=O)N2CCC[C@H]2C(N)=O)[C@](O)(C2=CC(Cl)=CC=C12)C1=CC=CC=C1Cl,C28H27Cl2N3O7S,1,"Antiplatelet agents, Hematologic Agents, Heterocyclic Compounds, Fused-Ring, Hormone Antagonists, Hormones, Hormone Substitutes, and Hormone Antagonists"," Oxytocin receptor,  Vasopressin V1a receptor","DB13929, DB12643, DB05168, DB11191, DB02868, DB03614, DB00541, DB17390, DB00309, DB12586, DB11467, DB00570, DB00200, DB11641, DB13013, DB12674, DB00361, DB04803, DB03469, DB11713, DB05735, DB03317, DB02667, DB16186, DB03906, DB02975, DB11691, DB05109, DB02832, DB16312",State information not found
DB11510,Deslorelin,investigational; vet_approved,[H][C@]1(CCC(=O)N1)C(=O)N[C@@H](CC1=CNC=N1)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@H](CC1=CNC2=CC=CC=C12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)NCC,C64H83N17O12,1,"Adrenal Cortex Hormones, Alcohol Dehydrogenase, antagonists & inhibitors, Amino Acids, Peptides, and Proteins, Enzyme Inhibitors, Gonadotropin-releasing hormone agonist, Hormones, Hormones, Hormone Substitutes, and Hormone Antagonists, Hypothalamic Hormones, Nerve Tissue Proteins, Neuropeptides, Oligopeptides, Peptide Hormones, Peptides, Pituitary Hormone-Releasing Hormones, Proteins",,"DB00007, DB06825, DB11510, DB00666, DB18169, DB06719, DB00644, DB04931, DB06788, DB14027, DB05479, DB15314, DB15194, DB01284, DB13298, DB15687, DB00014, DB11724, DB13928, DB14803, DB15272, DB17938, DB12199, DB11700, DB16013, DB14786, DB06610, DB14777, DB11720, DB16146",State information not found
DB00264,Metoprolol,approved; investigational,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1,C15H25NO3,1,"Adrenergic Agents, Adrenergic Antagonists, Adrenergic beta-1 Receptor Antagonists, Adrenergic beta-Antagonists, Agents causing hyperkalemia, Alcohols, Amines, Amino Alcohols, Antiarrhythmic agents, Antihypertensive Agents, Antihypertensive Agents Indicated for Hypertension, Beta blocking agents and calcium channel blockers, Beta Blocking Agents and Thiazides, Beta Blocking Agents, Selective, Beta Blocking Agents, Selective, and Thiazides, Beta-Blockers (Beta1 Selective), Bradycardia-Causing Agents, Cardiovascular Agents, Cytochrome P-450 CYP2D6 Inhibitors, Cytochrome P-450 CYP2D6 Inhibitors (moderate), Cytochrome P-450 CYP2D6 Substrates, Cytochrome P-450 CYP3A Substrates, Cytochrome P-450 CYP3A4 Substrates, Cytochrome P-450 CYP3A4 Substrates (strength unknown), Cytochrome P-450 Enzyme Inhibitors, Cytochrome P-450 Substrates, Drugs causing inadvertant photosensitivity, Drugs that are Mainly Renally Excreted, Hypotensive Agents, OCT2 Inhibitors, Photosensitizing Agents, Propanolamines"," Beta-1 adrenergic receptor,  Beta-2 adrenergic receptor,  Beta adrenergic receptor (Protein Group),  Cytochrome P450 3A4,  Cytochrome P450 2D6,  Serum albumin,  Solute carrier family 22 member 2","DB00264, DB00195, DB09351, DB00335, DB06987, DB13443, DB00187, DB00612, DB13777, DB00866",Solid
DB13943,Testosterone cypionate,approved,[H][C@@]12CC[C@H](OC(=O)CCC3CCCC3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,C27H40O3,1,"Anabolic Agents, Androgens, Androstanes, Androstenes, Androstenols, BCRP/ABCG2 Substrates, Cytochrome P-450 CYP2B6 Substrates, Cytochrome P-450 CYP2C19 Substrates, Cytochrome P-450 CYP2C8 Substrates, Cytochrome P-450 CYP2C9 Substrates, Cytochrome P-450 CYP3A Inducers, Cytochrome P-450 CYP3A Inhibitors, Cytochrome P-450 CYP3A Substrates, Cytochrome P-450 CYP3A4 Inducers, Cytochrome P-450 CYP3A4 Inducers (strength unknown), Cytochrome P-450 CYP3A4 Inhibitors, Cytochrome P-450 CYP3A4 Inhibitors (strength unknown), Cytochrome P-450 CYP3A4 Substrates, Cytochrome P-450 CYP3A5 Substrates, Cytochrome P-450 CYP3A7 Substrates, Cytochrome P-450 Enzyme Inducers, Cytochrome P-450 Enzyme Inhibitors, Cytochrome P-450 Substrates, Delayed-Action Preparations, Drugs that are Mainly Renally Excreted, Fused-Ring Compounds, Gonadal Hormones, Gonadal Steroid Hormones, Hormones, Hormones, Hormone Substitutes, and Hormone Antagonists, OAT3/SLC22A8 Inducers, P-glycoprotein inhibitors, Steroids, Testosterone and derivatives, Testosterone Congeners, Thyroxine-binding globulin inhibitors"," Androgen receptor,  Estrogen receptor alpha,  Mineralocorticoid receptor,  Cytochrome P450 3A4,  Amine oxidase [flavin-containing] A,  Cholesterol side-chain cleavage enzyme, mitochondrial,  Cytochrome P450 3A5,  Cytochrome P450 3A7,  Cytochrome P450 1A1,  Cytochrome P450 2A13,  Cytochrome P450 2B6,  Cytochrome P450 2C19, 10. Cytochrome P450 2C8, 11. Cytochrome P450 2C9, 12. Cytochrome P450 3A43, 13. 3-oxo-5-alpha-steroid 4-dehydrogenase (Protein Group), 14. Cytochrome P450 19A1,  Serum albumin,  Sex hormone-binding globulin,  Solute carrier organic anion transporter family member 1A2,  Solute carrier family 22 member 8,  Solute carrier family 22 member 7,  P-glycoprotein 1,  Sodium/bile acid cotransporter,  Solute carrier family 22 member 3,  Solute carrier family 22 member 4,  ATP-binding cassette sub-family G member 2","DB08804, DB13943, DB13944, DB13946, DB16001, DB16002, DB16141, DB01420, DB13958, DB08308, DB08619, DB01395, DB06789, DB14677, DB13185, DB14678, DB13640, DB00603, DB11440, DB02329, DB12499, DB08547, DB01134, DB15984, DB14544, DB06780, DB14540, DB14583, DB14639, DB14543",Solid
