DrugBank ID,Indication Type,Indication,Combined Product Details
DB01214,Management of,Ocular hypertension,
DB01214,Management of,Open angle glaucoma,
DB01217,Treatment of,Advanced breast cancer,
DB01217,Adjunct therapy in treatment of,Early breast cancer,
DB01217,Treatment of,Locally advanced breast cancer,
DB01217,Treatment of,Locally advanced breast cancer,
DB01217,Treatment of,Metastatic breast cancer,
DB01222,Management of,Allergic rhinitis,
DB01222,Management of,Allergies,
DB01222,Used in combination to manage,Asthma,Combination Product in combination with:Formoterol (DB00983)
DB01222,Management of,Asthma,
DB01222,Used in combination to manage,Asthma,Combination Product in combination with:Formoterol (DB00983)
DB01234,Management of,Acne rosacea,
DB01234,Management of,Acquired hemolytic anemia,
DB01234,Management of,Acute gouty arthritis,
DB01234,Management of,Acute leukemia,
DB01234,Used in combination to treat,Acute otitis externa,Combination Product in combination with:Ciprofloxacin (DB00537)
DB01240,Diagnostic agent,Pulmonary arterial hypertension,
DB01240,Treatment of,Pulmonary arterial hypertension,
DB01255,Management of,Adhd,
DB01255,Management of,Moderate binge eating disorder (bed),
DB01255,Management of,Severe binge eating disorder (bed),
DB01274,Used in combination to manage,Asthma,Combination Product in combination with:Budesonide (DB01222)
DB01274,Treatment of,Bronchoconstriction,
DB01274,Used in combination to manage,Chronic obstructive pulmonary disease (copd),Combination Product in combination with:Budesonide (DB01222)
DB01284,Adjunct therapy in treatment of,Acute gout,
DB01284,Management of,Acute rheumatic fever,
DB01284,Diagnostic agent,Adrenal insufficiency,
DB01284,Management of,Bell's palsy,
DB01284,Management of,Choroiditis,
DB01288,Prophylaxis of,"Asthma, exercise-induced",
DB01288,Symptomatic treatment of,Asthmatic attack,
DB01288,Adjunct therapy in treatment of,Bronchial asthma,
DB01288,Used in combination to manage,Severe copd exacerbation,Combination Product in combination with:Ipratropium (DB00332)
DB06401,Used in combination to prevent,Postmenopausal osteoporosis,Combination Product in combination with:Conjugated estrogens (DB00286)
DB06401,Used in combination to treat,Moderate vasomotor symptoms,Combination Product in combination with:Conjugated estrogens (DB00286)
DB06401,Used in combination to treat,Severe vasomotor symptoms,Combination Product in combination with:Conjugated estrogens (DB00286)
DB06412,Management of,Acquired aplastic anemia,
DB06412,Management of,Congenital aplastic anemia,
DB06412,Management of,Hypoplastic anemia,
DB06412,Management of,Myelofibrosis,
DB06413,Management of,Excessive sleepiness,
DB06413,Management of,Narcolepsy,
DB06413,Management of,Shift work disorder,
DB01364,Treatment of,Allergic disorder,
DB01364,Treatment of,Bronchial asthma,
DB01364,Used in combination for symptomatic treatment of,Common cold,"Combination Product in combination with:Dextromethorphan (DB00514),Promethazine (DB01069)"
DB01364,Used in combination for symptomatic treatment of,Coughing,"Combination Product in combination with:Promethazine (DB01069),Dextromethorphan (DB00514)"
DB01364,Used in combination for symptomatic treatment of,Coughing,"Combination Product in combination with:Dextromethorphan (DB00514),Diphenhydramine (DB01075)"
DB01366,Treatment of,Bronchial asthma,
DB01366,Treatment of,Bronchospasm,
DB01366,Treatment of,Chronic bronchitis,
DB01366,Treatment of,Emphysema,
DB01380,Management of,Acne rosacea,
DB01380,Management of,Acquired hemolytic anemia,
DB01380,Management of,Acute gouty arthritis,
DB01380,Management of,Acute leukemia,
DB01380,Diagnostic agent,Adrenocortical hyperfunction,
DB01406,Treatment of,Endometriosis,
DB01406,Symptomatic treatment of,Fibrocystic breast disease,
DB01406,Management of,Hereditary angioedema,
DB01406,Management of,Refractory immune thrombocytopenia,
DB01407,Used in combination to treat,Bronchitis,Combination Product in combination with:Ambroxol (DB06742)
