DrugBank ID,Human Intestinal Absorption_Value,Human Intestinal Absorption_Probability,Blood Brain Barrier_Value,Blood Brain Barrier_Probability,Caco-2 permeable_Value,Caco-2 permeable_Probability,P-glycoprotein substrate_Value,P-glycoprotein substrate_Probability,P-glycoprotein inhibitor I_Value,P-glycoprotein inhibitor I_Probability,P-glycoprotein inhibitor II_Value,P-glycoprotein inhibitor II_Probability,Renal organic cation transporter_Value,Renal organic cation transporter_Probability,CYP450 2C9 substrate_Value,CYP450 2C9 substrate_Probability,CYP450 2D6 substrate_Value,CYP450 2D6 substrate_Probability,CYP450 3A4 substrate_Value,CYP450 3A4 substrate_Probability,CYP450 1A2 substrate_Value,CYP450 1A2 substrate_Probability,CYP450 2C9 inhibitor_Value,CYP450 2C9 inhibitor_Probability,CYP450 2D6 inhibitor_Value,CYP450 2D6 inhibitor_Probability,CYP450 2C19 inhibitor_Value,CYP450 2C19 inhibitor_Probability,CYP450 3A4 inhibitor_Value,CYP450 3A4 inhibitor_Probability,CYP450 inhibitory promiscuity_Value,CYP450 inhibitory promiscuity_Probability,Ames test_Value,Ames test_Probability,Carcinogenicity_Value,Carcinogenicity_Probability,Biodegradation_Value,Biodegradation_Probability,Rat acute toxicity_Value,Rat acute toxicity_Probability,hERG inhibition (predictor I)_Value,hERG inhibition (predictor I)_Probability,hERG inhibition (predictor II)_Value,hERG inhibition (predictor II)_Probability
DB00180,+,0.9865,+,0.9683,+,0.5,Substrate,0.7912,Non-inhibitor,0.5674,Non-inhibitor,0.8383,Non-inhibitor,0.8304,Non-substrate,0.8679,Non-substrate,0.8856,Substrate,0.6964,Non-inhibitor,0.9327,Non-inhibitor,0.9394,Non-inhibitor,0.9559,Non-inhibitor,0.9311,Non-inhibitor,0.8309,Low CYP Inhibitory Promiscuity,0.8806,Non AMES toxic,0.7682,Non-carcinogens,0.9174,Not ready biodegradable,1.0,"2.7033 LD50, mol/kg",Not applicable,Weak inhibitor,0.9838,Non-inhibitor,0.671
DB00187,+,0.7023,-,0.9645,+,0.5,Substrate,0.6511,Non-inhibitor,0.8625,Non-inhibitor,0.7171,Non-inhibitor,0.8605,Non-substrate,0.8124,Substrate,0.663,Non-substrate,0.5869,Non-inhibitor,0.864,Non-inhibitor,0.8789,Non-inhibitor,0.8806,Non-inhibitor,0.9585,Non-inhibitor,0.8495,Low CYP Inhibitory Promiscuity,0.9761,Non AMES toxic,0.9066,Non-carcinogens,0.9519,Not ready biodegradable,0.6493,"1.9194 LD50, mol/kg",Not applicable,Weak inhibitor,0.9556,Non-inhibitor,0.774
DB13827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB17818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00191,+,0.9964,+,0.959,+,0.7688,Non-substrate,0.6477,Non-inhibitor,0.934,Non-inhibitor,0.9801,Non-inhibitor,0.8236,Non-substrate,0.8411,Substrate,0.7204,Non-substrate,0.6493,Non-inhibitor,0.7962,Non-inhibitor,0.8861,Inhibitor,0.7825,Non-inhibitor,0.8996,Non-inhibitor,0.7348,Low CYP Inhibitory Promiscuity,0.8782,Non AMES toxic,0.9681,Non-carcinogens,0.6949,Not ready biodegradable,0.9303,"2.8400 LD50, mol/kg",Not applicable,Weak inhibitor,0.9867,Non-inhibitor,0.8734
DB00193,+,0.9924,+,0.9382,+,0.8866,Substrate,0.6283,Inhibitor,0.7807,Inhibitor,0.9589,Non-inhibitor,0.6398,Non-substrate,0.7678,Substrate,0.8919,Substrate,0.7726,Non-inhibitor,0.7136,Non-inhibitor,0.704,Inhibitor,0.6566,Non-inhibitor,0.6841,Non-inhibitor,0.6256,Low CYP Inhibitory Promiscuity,0.7832,Non AMES toxic,0.7899,Non-carcinogens,0.6663,Not ready biodegradable,0.9975,"3.0316 LD50, mol/kg",Not applicable,Weak inhibitor,0.6136,Inhibitor,0.7098
DB11429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00195,+,0.9903,-,0.8906,+,0.8866,Substrate,0.7683,Non-inhibitor,0.7967,Non-inhibitor,0.8547,Non-inhibitor,0.8206,Non-substrate,0.8106,Substrate,0.8918,Non-substrate,0.7221,Inhibitor,0.8972,Inhibitor,0.5241,Non-inhibitor,0.9231,Non-inhibitor,0.9249,Non-inhibitor,0.9647,Low CYP Inhibitory Promiscuity,0.9741,Non AMES toxic,0.8765,Non-carcinogens,0.9304,Not ready biodegradable,0.9395,"2.1620 LD50, mol/kg",Not applicable,Weak inhibitor,0.7663,Non-inhibitor,0.7498
DB17882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB13852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00214,+,0.9156,+,0.6871,-,0.5374,Non-substrate,0.799,Non-inhibitor,0.7695,Non-inhibitor,0.8232,Non-inhibitor,0.9185,Substrate,0.6049,Non-substrate,0.9116,Non-substrate,0.7558,Non-inhibitor,0.9045,Non-inhibitor,0.6692,Non-inhibitor,0.923,Non-inhibitor,0.9025,Inhibitor,0.5905,Low CYP Inhibitory Promiscuity,0.6324,Non AMES toxic,0.9133,Non-carcinogens,0.8366,Not ready biodegradable,1.0,"1.8740 LD50, mol/kg",Not applicable,Weak inhibitor,0.9854,Non-inhibitor,0.8668
DB02404,+,0.8836,+,0.7317,-,0.6023,Non-substrate,0.5878,Non-inhibitor,0.858,Non-inhibitor,0.6728,Non-inhibitor,0.8701,Non-substrate,0.8519,Non-substrate,0.8639,Non-substrate,0.7405,Non-inhibitor,0.9347,Non-inhibitor,0.8972,Non-inhibitor,0.9593,Non-inhibitor,0.8874,Non-inhibitor,0.9386,Low CYP Inhibitory Promiscuity,0.9218,Non AMES toxic,0.8163,Non-carcinogens,0.753,Not ready biodegradable,0.8178,"1.2924 LD50, mol/kg",Not applicable,Weak inhibitor,0.8769,Non-inhibitor,0.82
DB11466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB13867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB11478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB11479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB11487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB13917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB13929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB11510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00264,+,0.9854,-,0.8426,+,0.6895,Substrate,0.7317,Non-inhibitor,0.8182,Non-inhibitor,0.8382,Non-inhibitor,0.8418,Non-substrate,0.81,Substrate,0.8918,Non-substrate,0.6527,Non-inhibitor,0.7018,Non-inhibitor,0.8691,Non-inhibitor,0.7909,Non-inhibitor,0.9555,Non-inhibitor,0.9476,Low CYP Inhibitory Promiscuity,0.9897,Non AMES toxic,0.9163,Non-carcinogens,0.9387,Not ready biodegradable,0.8544,"1.9180 LD50, mol/kg",Not applicable,Weak inhibitor,0.8368,Non-inhibitor,0.8202
DB13943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB13944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB13946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB13947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB11541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB13958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB11551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB18059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00295,+,0.9971,+,0.9882,+,0.8867,Substrate,0.8787,Non-inhibitor,0.8782,Non-inhibitor,0.956,Inhibitor,0.6221,Non-substrate,0.7451,Substrate,0.8919,Substrate,0.7375,Non-inhibitor,0.5191,Non-inhibitor,0.9046,Non-inhibitor,0.647,Non-inhibitor,0.8155,Non-inhibitor,0.9176,Low CYP Inhibitory Promiscuity,0.7503,Non AMES toxic,0.9132,Non-carcinogens,0.9634,Not ready biodegradable,0.9944,"2.8989 LD50, mol/kg",Not applicable,Weak inhibitor,0.8367,Non-inhibitor,0.874
DB11609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB11610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00327,+,1.0,+,0.9931,+,0.8647,Substrate,0.8174,Non-inhibitor,0.8497,Non-inhibitor,0.9641,Inhibitor,0.6374,Non-substrate,0.7925,Substrate,0.8618,Substrate,0.7571,Non-inhibitor,0.6918,Non-inhibitor,0.9539,Non-inhibitor,0.5197,Non-inhibitor,0.8088,Non-inhibitor,0.8177,Low CYP Inhibitory Promiscuity,0.9413,Non AMES toxic,0.7214,Non-carcinogens,0.9554,Not ready biodegradable,0.9815,"2.9191 LD50, mol/kg",Not applicable,Weak inhibitor,0.8906,Non-inhibitor,0.8992
DB11619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00333,+,0.9968,+,0.9772,+,0.7841,Substrate,0.6224,Inhibitor,0.7627,Non-inhibitor,0.9101,Non-inhibitor,0.5851,Non-substrate,0.7822,Non-substrate,0.7743,Substrate,0.66,Inhibitor,0.5312,Non-inhibitor,0.864,Inhibitor,0.5449,Non-inhibitor,0.8177,Non-inhibitor,0.5507,Low CYP Inhibitory Promiscuity,0.6586,Non AMES toxic,0.946,Carcinogens,0.6315,Not ready biodegradable,0.9888,"3.5250 LD50, mol/kg",Not applicable,Weak inhibitor,0.947,Inhibitor,0.7606
DB00335,+,0.9831,-,0.9505,-,0.7922,Substrate,0.6773,Non-inhibitor,0.9446,Non-inhibitor,0.9856,Non-inhibitor,0.8959,Non-substrate,0.8416,Substrate,0.5468,Non-substrate,0.6826,Non-inhibitor,0.9045,Non-inhibitor,0.9163,Non-inhibitor,0.9231,Non-inhibitor,0.9026,Non-inhibitor,0.9379,Low CYP Inhibitory Promiscuity,0.9537,Non AMES toxic,0.9132,Non-carcinogens,0.8691,Not ready biodegradable,0.8969,"2.0932 LD50, mol/kg",Not applicable,Weak inhibitor,0.996,Non-inhibitor,0.8861
DB04733,-,0.9744,+,0.8109,-,0.7648,Non-substrate,0.6486,Non-inhibitor,0.8664,Non-inhibitor,0.9642,Non-inhibitor,0.9402,Non-substrate,0.8431,Non-substrate,0.8404,Non-substrate,0.6431,Non-inhibitor,0.9134,Non-inhibitor,0.8978,Non-inhibitor,0.9118,Non-inhibitor,0.8735,Non-inhibitor,0.9611,Low CYP Inhibitory Promiscuity,0.9763,Non AMES toxic,0.847,Non-carcinogens,0.6964,Not ready biodegradable,0.5977,"2.1120 LD50, mol/kg",Not applicable,Weak inhibitor,0.9292,Non-inhibitor,0.8774
DB00357,+,0.9811,+,0.9908,+,0.5,Substrate,0.7352,Non-inhibitor,0.7439,Non-inhibitor,0.9432,Non-inhibitor,0.8514,Non-substrate,0.8342,Non-substrate,0.9116,Non-substrate,0.5505,Non-inhibitor,0.9045,Non-inhibitor,0.9071,Non-inhibitor,0.923,Non-inhibitor,0.9026,Non-inhibitor,0.8309,Low CYP Inhibitory Promiscuity,0.8682,Non AMES toxic,0.8016,Non-carcinogens,0.8401,Not ready biodegradable,1.0,"2.7219 LD50, mol/kg",Not applicable,Weak inhibitor,0.99,Non-inhibitor,0.6295
DB00368,+,0.9837,-,0.9762,-,0.7985,Non-substrate,0.6046,Non-inhibitor,0.9441,Non-inhibitor,0.9285,Non-inhibitor,0.9004,Non-substrate,0.8702,Non-substrate,0.8667,Non-substrate,0.7986,Non-inhibitor,0.9135,Non-inhibitor,0.9675,Non-inhibitor,0.9798,Non-inhibitor,0.9446,Non-inhibitor,0.9209,Low CYP Inhibitory Promiscuity,0.8839,Non AMES toxic,0.5053,Non-carcinogens,0.8942,Ready biodegradable,0.5401,"2.2298 LD50, mol/kg",Not applicable,Weak inhibitor,0.9028,Non-inhibitor,0.7864
DB00373,+,0.9958,-,0.6467,+,0.8867,Substrate,0.8522,Non-inhibitor,0.6567,Non-inhibitor,0.9552,Non-inhibitor,0.9105,Non-substrate,0.7898,Substrate,0.8918,Substrate,0.5389,Non-inhibitor,0.9046,Non-inhibitor,0.9071,Inhibitor,0.8932,Non-inhibitor,0.9026,Non-inhibitor,0.8309,Low CYP Inhibitory Promiscuity,0.8678,Non AMES toxic,0.9132,Non-carcinogens,0.7338,Not ready biodegradable,1.0,"2.6096 LD50, mol/kg",Not applicable,Weak inhibitor,0.9214,Non-inhibitor,0.7334
DB11682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB18214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00384,+,1.0,+,0.8735,+,0.7017,Non-substrate,0.6269,Non-inhibitor,0.8782,Non-inhibitor,0.8814,Non-inhibitor,0.8437,Non-substrate,0.8949,Non-substrate,0.8892,Non-substrate,0.7542,Inhibitor,0.9107,Non-inhibitor,0.907,Non-inhibitor,0.9231,Non-inhibitor,0.9025,Non-inhibitor,0.831,Low CYP Inhibitory Promiscuity,0.6161,Non AMES toxic,0.8934,Non-carcinogens,0.9092,Not ready biodegradable,0.9959,"2.7706 LD50, mol/kg",Not applicable,Weak inhibitor,0.9604,Non-inhibitor,0.6829
DB14093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB18246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB14110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00421,+,0.9912,+,0.932,+,0.5432,Substrate,0.5691,Inhibitor,0.6807,Inhibitor,0.8388,Non-inhibitor,0.727,Non-substrate,0.7897,Non-substrate,0.9116,Substrate,0.6638,Non-inhibitor,0.9045,Non-inhibitor,0.9071,Non-inhibitor,0.9276,Non-inhibitor,0.9025,Non-inhibitor,0.8309,Low CYP Inhibitory Promiscuity,0.8681,Non AMES toxic,0.9158,Non-carcinogens,0.9288,Not ready biodegradable,0.9696,"2.0150 LD50, mol/kg",Not applicable,Weak inhibitor,0.9427,Non-inhibitor,0.7002
DB14136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00422,+,0.9941,+,0.9663,+,0.6564,Substrate,0.5466,Non-inhibitor,0.7964,Non-inhibitor,0.9601,Inhibitor,0.532,Non-substrate,0.7897,Non-substrate,0.9116,Non-substrate,0.5985,Non-inhibitor,0.592,Non-inhibitor,0.897,Non-inhibitor,0.5245,Non-inhibitor,0.9265,Non-inhibitor,0.8539,Low CYP Inhibitory Promiscuity,0.9328,Non AMES toxic,0.9133,Non-carcinogens,0.9648,Not ready biodegradable,0.5759,"2.7718 LD50, mol/kg",Not applicable,Weak inhibitor,0.8466,Non-inhibitor,0.7491
DB14140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB07768,+,1.0,+,0.973,+,0.8984,Substrate,0.6498,Inhibitor,0.5489,Non-inhibitor,0.8923,Non-inhibitor,0.7324,Non-substrate,0.8167,Non-substrate,0.9116,Substrate,0.7739,Non-inhibitor,0.9005,Non-inhibitor,0.95,Non-inhibitor,0.9452,Non-inhibitor,0.6668,Non-inhibitor,0.8812,Low CYP Inhibitory Promiscuity,0.8683,Non AMES toxic,0.9382,Non-carcinogens,0.9483,Not ready biodegradable,0.9174,"1.6259 LD50, mol/kg",Not applicable,Weak inhibitor,0.8938,Non-inhibitor,0.7163
DB04825,+,1.0,+,0.9774,+,0.8194,Substrate,0.5313,Inhibitor,0.59,Non-inhibitor,0.7214,Inhibitor,0.6263,Non-substrate,0.7387,Substrate,0.8796,Non-substrate,0.6941,Inhibitor,0.8455,Non-inhibitor,0.9304,Inhibitor,0.927,Inhibitor,0.6787,Non-inhibitor,0.6841,Low CYP Inhibitory Promiscuity,0.6512,Non AMES toxic,0.8094,Non-carcinogens,0.8812,Not ready biodegradable,0.86,"3.0889 LD50, mol/kg",Not applicable,Weak inhibitor,0.7311,Inhibitor,0.7538
DB00436,+,0.9643,-,0.7807,-,0.7105,Non-substrate,0.6048,Non-inhibitor,0.7889,Non-inhibitor,0.8383,Non-inhibitor,0.8835,Non-substrate,0.708,Non-substrate,0.8398,Non-substrate,0.6596,Inhibitor,0.8745,Non-inhibitor,0.907,Non-inhibitor,0.9351,Non-inhibitor,0.9287,Non-inhibitor,0.8607,Low CYP Inhibitory Promiscuity,0.9081,Non AMES toxic,0.8474,Non-carcinogens,0.8156,Not ready biodegradable,1.0,"2.0888 LD50, mol/kg",Not applicable,Weak inhibitor,0.9858,Non-inhibitor,0.8967
DB18409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB02645,-,0.9108,+,0.5719,-,0.7947,Non-substrate,0.5113,Non-inhibitor,0.8839,Non-inhibitor,0.933,Non-inhibitor,0.8192,Non-substrate,0.8701,Non-substrate,0.8509,Non-substrate,0.6444,Non-inhibitor,0.9142,Non-inhibitor,0.8762,Non-inhibitor,0.9273,Non-inhibitor,0.8676,Non-inhibitor,0.9745,Low CYP Inhibitory Promiscuity,0.9719,Non AMES toxic,0.6211,Non-carcinogens,0.963,Not ready biodegradable,0.6765,"1.8232 LD50, mol/kg",Not applicable,Weak inhibitor,0.8579,Non-inhibitor,0.8025
DB00443,+,0.992,+,0.9781,+,0.8304,Substrate,0.7862,Non-inhibitor,0.8112,Non-inhibitor,0.8134,Non-inhibitor,0.7971,Non-substrate,0.8733,Non-substrate,0.9115,Substrate,0.7315,Non-inhibitor,0.938,Non-inhibitor,0.9106,Non-inhibitor,0.9231,Non-inhibitor,0.9247,Non-inhibitor,0.8308,Low CYP Inhibitory Promiscuity,0.9169,Non AMES toxic,0.9132,Non-carcinogens,0.9399,Not ready biodegradable,1.0,"2.1482 LD50, mol/kg",Not applicable,Weak inhibitor,0.9558,Inhibitor,0.5091
DB04846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB04847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00460,-,0.5377,+,0.6313,-,0.6425,Substrate,0.7738,Non-inhibitor,0.577,Non-inhibitor,0.5444,Non-inhibitor,0.7681,Non-substrate,0.8178,Non-substrate,0.822,Substrate,0.6429,Inhibitor,0.7915,Inhibitor,0.7158,Non-inhibitor,0.754,Non-inhibitor,0.7057,Non-inhibitor,0.5157,High CYP Inhibitory Promiscuity,0.652,Non AMES toxic,0.6596,Non-carcinogens,0.9368,Not ready biodegradable,1.0,"2.6756 LD50, mol/kg",Not applicable,Weak inhibitor,0.9884,Non-inhibitor,0.9038
DB04861,+,0.8483,+,0.7802,-,0.5549,Substrate,0.7928,Non-inhibitor,0.7443,Non-inhibitor,0.567,Non-inhibitor,0.8016,Non-substrate,0.8738,Non-substrate,0.7248,Non-substrate,0.6822,Inhibitor,0.5145,Non-inhibitor,0.7876,Non-inhibitor,0.5994,Non-inhibitor,0.5923,Non-inhibitor,0.9441,Low CYP Inhibitory Promiscuity,0.8336,Non AMES toxic,0.7132,Non-carcinogens,0.9402,Not ready biodegradable,0.9953,"2.7228 LD50, mol/kg",Not applicable,Strong inhibitor,0.5769,Inhibitor,0.8381
DB04862,+,0.9495,+,0.8683,-,0.6274,Substrate,0.5991,Non-inhibitor,0.5808,Inhibitor,0.5883,Non-inhibitor,0.8136,Non-substrate,0.5843,Non-substrate,0.835,Non-substrate,0.5053,Non-inhibitor,0.5894,Non-inhibitor,0.5629,Non-inhibitor,0.7957,Inhibitor,0.5554,Inhibitor,0.6474,High CYP Inhibitory Promiscuity,0.7913,Non AMES toxic,0.5769,Non-carcinogens,0.9185,Not ready biodegradable,0.9853,"2.4165 LD50, mol/kg",Not applicable,Weak inhibitor,0.7275,Inhibitor,0.6595
DB00475,+,1.0,+,0.9758,+,0.5868,Substrate,0.6705,Non-inhibitor,0.521,Non-inhibitor,0.7434,Non-inhibitor,0.5502,Non-substrate,0.6991,Non-substrate,0.9116,Substrate,0.7408,Inhibitor,0.7564,Non-inhibitor,0.6038,Non-inhibitor,0.7862,Non-inhibitor,0.5,Inhibitor,0.7067,High CYP Inhibitory Promiscuity,0.6372,Non AMES toxic,0.593,Non-carcinogens,0.7108,Not ready biodegradable,1.0,"2.8520 LD50, mol/kg",Not applicable,Weak inhibitor,0.9198,Non-inhibitor,0.8828
DB14205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB14206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00481,+,0.9865,+,0.8661,-,0.8957,Substrate,0.7751,Non-inhibitor,0.6231,Inhibitor,0.9366,Inhibitor,0.634,Non-substrate,0.7897,Non-substrate,0.9116,Substrate,0.5198,Non-inhibitor,0.9045,Non-inhibitor,0.9071,Inhibitor,0.8932,Inhibitor,0.8986,Inhibitor,0.7617,High CYP Inhibitory Promiscuity,0.8222,Non AMES toxic,0.8487,Non-carcinogens,0.9433,Not ready biodegradable,0.9587,"2.5287 LD50, mol/kg",Not applicable,Weak inhibitor,0.6322,Inhibitor,0.5779
DB00489,+,0.995,+,0.9382,-,0.8957,Non-substrate,0.6708,Non-inhibitor,0.8881,Non-inhibitor,0.9638,Non-inhibitor,0.9514,Non-substrate,0.7392,Non-substrate,0.8296,Non-substrate,0.6194,Non-inhibitor,0.9046,Non-inhibitor,0.907,Non-inhibitor,0.9231,Non-inhibitor,0.9026,Non-inhibitor,0.8807,Low CYP Inhibitory Promiscuity,0.8276,Non AMES toxic,0.9133,Non-carcinogens,0.587,Not ready biodegradable,0.9949,"2.2873 LD50, mol/kg",Not applicable,Weak inhibitor,0.846,Non-inhibitor,0.8701
DB00497,+,0.9924,+,0.9885,+,0.7774,Substrate,0.8996,Inhibitor,0.539,Non-inhibitor,0.9122,Non-inhibitor,0.5413,Non-substrate,0.822,Substrate,0.8918,Substrate,0.7796,Non-inhibitor,0.9327,Non-inhibitor,0.9431,Non-inhibitor,0.5131,Non-inhibitor,0.882,Non-inhibitor,0.8714,Low CYP Inhibitory Promiscuity,0.9691,Non AMES toxic,0.7337,Non-carcinogens,0.9557,Not ready biodegradable,0.9746,"3.0638 LD50, mol/kg",Not applicable,Weak inhibitor,0.9402,Non-inhibitor,0.9279
